ho monitorato dal giorno : 2019-09-11 16:31:22
al giorno : 2019-09-19 09:35:23

nodi connessi invariati: lancio    percentuale      numero-peer-connessi 
  510   0.708333 %   24
  511   0.708333 %   24
  512   0.708333 %   24
  513   0.708333 %   24
  514   0.708333 %   24
  515   0.708333 %   24
  516   0.708333 %   24
  517   0.708333 %   24
  518   0.708333 %   24
  519   0.750000 %   24
  520   0.750000 %   24
  521   0.750000 %   24
  522   0.708333 %   24
  523   0.708333 %   24
  524   0.708333 %   24
  525   0.708333 %   24
  526   0.708333 %   24
  527   0.708333 %   24
  528   0.708333 %   24
  529   0.708333 %   24
  530   0.708333 %   24
  531   0.708333 %   24
  532   0.708333 %   24
  533   0.708333 %   24
  534   0.708333 %   24
  535   0.708333 %   24
  536   0.708333 %   24
  537   0.708333 %   24
  538   0.708333 %   24
  539   0.708333 %   24
  540   0.708333 %   24
  541   0.708333 %   24
  542   0.708333 %   24
  543   0.708333 %   24
  544   0.708333 %   24
  545   0.708333 %   24
  546   0.708333 %   24
  547   0.708333 %   24
  548   0.708333 %   24
  549   0.708333 %   24
  550   0.708333 %   24
  551   0.708333 %   24
  552   0.708333 %   24
  553   0.708333 %   24
  554   0.708333 %   24
  555   0.708333 %   24
  556   0.708333 %   24
  557   0.708333 %   24
  558   0.708333 %   24
  559   0.708333 %   24
  560   0.750000 %   23
  561   0.750000 %   24
  562   0.750000 %   24
  563   0.750000 %   24
  564   0.708333 %   24
  565   0.708333 %   24
  566   0.708333 %   24
  567   0.708333 %   24
  568   0.708333 %   24
  569   0.708333 %   24
  570   0.750000 %   24
  571   0.750000 %   24
  572   0.750000 %   24
  573   0.708333 %   24
  574   0.708333 %   24
  575   0.708333 %   24
  576   0.708333 %   24
  577   0.708333 %   24
  578   0.708333 %   24
  579   0.750000 %   23
  580   0.750000 %   24
  581   0.750000 %   24
  582   0.708333 %   24
  583   0.750000 %   24
  584   0.750000 %   24
  585   0.750000 %   24
  586   0.708333 %   24
  587   0.708333 %   24
  588   0.708333 %   24
  589   0.708333 %   24
  590   0.708333 %   24
  591   0.708333 %   24
  592   0.708333 %   24
  593   0.708333 %   24
  594   0.708333 %   24
  595   0.708333 %   24
  596   0.708333 %   24
  597   0.750000 %   24
  598   0.708333 %   24
  599   0.708333 %   24
  600   0.708333 %   24
  601   0.708333 %   24
  602   0.708333 %   24
  603   0.708333 %   24
  604   0.708333 %   24
  605   0.708333 %   24
  606   0.708333 %   24
  607   0.708333 %   24
  608   0.708333 %   24
  609   0.708333 %   24
  610   0.708333 %   24
  611   0.708333 %   24
  612   0.708333 %   24
  613   0.708333 %   24
  614   0.708333 %   24
  615   0.708333 %   24
  616   0.708333 %   24
  617   0.791667 %   24
  618   0.791667 %   24
  619   0.791667 %   24
  620   0.750000 %   24
  621   0.750000 %   24
  622   0.750000 %   24
  623   0.750000 %   24
  624   0.750000 %   24
  625   0.750000 %   24
  626   0.791667 %   24
  627   0.750000 %   24
  628   0.750000 %   24
  629   0.750000 %   24
  630   0.750000 %   24
  631   0.750000 %   24
  632   0.750000 %   24
  633   0.750000 %   24
  634   0.750000 %   24
  635   0.750000 %   24
  636   0.750000 %   24
  637   0.750000 %   24
  638   0.750000 %   24
  639   0.750000 %   24
  640   0.750000 %   24
  641   0.750000 %   24
  642   0.750000 %   24
  643   0.750000 %   24
